"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2011","0.9658","1.0682","1.0767","0.9612","","-9.75%"
"08/01/2011","1.0701","1.0999","1.1068","0.9927","","-2.61%"
"07/01/2011","1.0988","1.0715","1.1083","1.0524","","2.53%"
"06/01/2011","1.0717","1.0656","1.0776","1.0389","","0.46%"
"05/01/2011","1.0668","1.0971","1.1014","1.0439","","-2.71%"
"04/01/2011","1.0965","1.0326","1.0979","1.0287","","6.18%"
"03/01/2011","1.0327","1.0183","1.0374","0.9707","","1.41%"
"02/01/2011","1.0183","0.9969","1.0203","0.9942","","2.21%"
"01/01/2011","0.9963","1.0206","1.0229","0.9804","","-2.49%"
"12/01/2010","1.0217","0.9605","1.0268","0.9549","","6.68%"
"11/01/2010","0.9577","0.9850","1.0185","0.9545","","-2.64%"
"10/01/2010","0.9837","0.9660","1.0006","0.9543","","1.75%"
"09/01/2010","0.9668","0.8921","0.9734","0.8911","","8.52%"
"08/01/2010","0.8909","0.9059","0.9224","0.8771","","-1.47%"
"07/01/2010","0.9042","0.8395","0.9070","0.8316","","7.64%"
"06/01/2010","0.8400","0.8471","0.8860","0.8087","","-0.78%"
"05/01/2010","0.8466","0.9227","0.9276","0.8066","","-8.44%"
"04/01/2010","0.9246","0.9173","0.9385","0.9135","","0.86%"
"03/01/2010","0.9167","0.8960","0.9252","0.8934","","2.41%"
"02/01/2010","0.8951","0.8803","0.9074","0.8579","","1.18%"
"01/01/2010","0.8847","0.8972","0.9332","0.8833","","-1.40%"
"12/01/2009","0.8973","0.9159","0.9327","0.8734","","-1.95%"
"11/01/2009","0.9151","0.8971","0.9406","0.8906","","1.76%"
"10/01/2009","0.8993","0.8839","0.9329","0.8569","","1.77%"
"09/01/2009","0.8837","0.8438","0.8850","0.8239","","4.64%"
"08/01/2009","0.8445","0.8351","0.8478","0.8155","","1.09%"
"07/01/2009","0.8354","0.8061","0.8369","0.7702","","3.53%"
"06/01/2009","0.8069","0.8028","0.8266","0.7790","","0.71%"
"05/01/2009","0.8012","0.7254","0.8017","0.7242","","10.48%"
"04/01/2009","0.7252","0.6916","0.7384","0.6855","","4.77%"
"03/01/2009","0.6922","0.6384","0.7095","0.6285","","8.17%"
"02/01/2009","0.6399","0.6357","0.6850","0.6246","","0.76%"
"01/01/2009","0.6351","0.7026","0.7268","0.6344","","-10.25%"
"12/01/2008","0.7076","0.6532","0.7141","0.6291","","8.01%"
"11/01/2008","0.6551","0.6701","0.7016","0.6076","","-1.92%"
"10/01/2008","0.6679","0.7950","0.8022","0.6007","","-15.92%"
"09/01/2008","0.7944","0.8566","0.8582","0.7802","","-7.43%"
"08/01/2008","0.8582","0.9415","0.9419","0.8495","","-8.88%"
"07/01/2008","0.9418","0.9583","0.9850","0.9396","","-1.68%"
"06/01/2008","0.9579","0.9546","0.9668","0.9326","","0.21%"
"05/01/2008","0.9559","0.9433","0.9655","0.9275","","1.42%"
"04/01/2008","0.9425","0.9133","0.9543","0.9030","","3.27%"
"03/01/2008","0.9127","0.9326","0.9473","0.8953","","-2.02%"
"02/01/2008","0.9315","0.8956","0.9499","0.8872","","3.95%"
"01/01/2008","0.8961","0.8744","0.9020","0.8512","","2.31%"
"12/01/2007","0.8759","0.8828","0.8906","0.8551","","-0.94%"
"11/01/2007","0.8842","0.9319","0.9404","0.8651","","-5.16%"
"10/01/2007","0.9323","0.8879","0.9346","0.8749","","5.07%"
"09/01/2007","0.8873","0.8159","0.8889","0.8157","","8.51%"
"08/01/2007","0.8177","0.8504","0.8663","0.7672","","-3.91%"
"07/01/2007","0.8510","0.8523","0.8872","0.8458","","0.26%"
"06/01/2007","0.8488","0.8275","0.8522","0.8267","","2.55%"
"05/01/2007","0.8277","0.8295","0.8355","0.8161","","-0.36%"
"04/01/2007","0.8307","0.8099","0.8394","0.8062","","2.75%"
"03/01/2007","0.8085","0.7874","0.8127","0.7679","","2.59%"
"02/01/2007","0.7881","0.7768","0.7947","0.7706","","1.45%"
"01/01/2007","0.7768","0.7878","0.7986","0.7695","","-1.58%"
"12/01/2006","0.7893","0.7890","0.7933","0.7779","","0.10%"
